study,value,repeat,estimator,n_samples,n_original_features,n_numerical_features,n_categorical_features,n_transformed_features,n_candidates,fit_time,fit_wall_time,status
samples,16384,3,HSTree,16384,70,60,10,100,,0.5775276580825448,0.5775276580825448,ok
samples,16384,3,GreedyRuleList,16384,70,60,10,100,,0.2700252691283822,0.2700252691283822,ok
samples,16384,4,RFR,16384,70,60,10,100,1000,0.24424305208958685,0.24424305208958685,ok
samples,16384,4,GPR,16384,70,60,10,100,,1.7005842220969498,1.9221768300049007,ok
samples,16384,4,FIGS,16384,70,60,10,100,,9.061399633064866,9.061399633064866,ok
samples,16384,4,HSTree,16384,70,60,10,100,,0.5792737500742078,0.5792737500742078,ok
samples,16384,4,GreedyRuleList,16384,70,60,10,100,,0.2544040339998901,0.2544040339998901,ok
samples,32768,0,RFR,32768,70,60,10,100,1000,0.5209809259977192,0.5209809259977192,ok
samples,32768,0,GPR,32768,70,60,10,100,,3.14208812196739,3.364372994052246,ok
samples,32768,0,FIGS,32768,70,60,10,100,,18.654989280970767,18.654989280970767,ok
samples,32768,0,HSTree,32768,70,60,10,100,,1.2189973159693182,1.2189973159693182,ok
samples,32768,0,GreedyRuleList,32768,70,60,10,100,,0.561223188880831,0.561223188880831,ok
samples,32768,1,RFR,32768,70,60,10,100,1000,0.5746833828743547,0.5746833828743547,ok
samples,32768,1,GPR,32768,70,60,10,100,,2.909814242972061,3.1314140160102397,ok
samples,32768,1,FIGS,32768,70,60,10,100,,18.71720973192714,18.71720973192714,ok
samples,32768,1,HSTree,32768,70,60,10,100,,1.2266985909081995,1.2266985909081995,ok
samples,32768,1,GreedyRuleList,32768,70,60,10,100,,0.5554280739743263,0.5554280739743263,ok
samples,32768,2,RFR,32768,70,60,10,100,1000,0.5175716090016067,0.5175716090016067,ok
samples,32768,2,GPR,32768,70,60,10,100,,3.1023607118986547,3.324687907937914,ok
samples,32768,2,FIGS,32768,70,60,10,100,,18.920342413010076,18.920342413010076,ok
samples,32768,2,HSTree,32768,70,60,10,100,,1.2078238651156425,1.2078238651156425,ok
samples,32768,2,GreedyRuleList,32768,70,60,10,100,,0.556337510002777,0.556337510002777,ok
samples,32768,3,RFR,32768,70,60,10,100,1000,0.5269983939360827,0.5269983939360827,ok
samples,32768,3,GPR,32768,70,60,10,100,,2.9291946799494326,3.1523587498813868,ok
samples,32768,3,FIGS,32768,70,60,10,100,,18.920581226004288,18.920581226004288,ok
samples,32768,3,HSTree,32768,70,60,10,100,,1.2383631800767034,1.2383631800767034,ok
samples,32768,3,GreedyRuleList,32768,70,60,10,100,,0.5198851011227816,0.5198851011227816,ok
samples,32768,4,RFR,32768,70,60,10,100,1000,0.5159364480059594,0.5159364480059594,ok
samples,32768,4,GPR,32768,70,60,10,100,,3.009023985825479,3.2297727160621434,ok
samples,32768,4,FIGS,32768,70,60,10,100,,18.924354986986145,18.924354986986145,ok
samples,32768,4,HSTree,32768,70,60,10,100,,1.483753175009042,1.483753175009042,ok
samples,32768,4,GreedyRuleList,32768,70,60,10,100,,0.5179888179991394,0.5179888179991394,ok
samples,65536,0,RFR,65536,70,60,10,100,1000,2.23038820293732,2.23038820293732,ok
samples,65536,0,GPR,65536,70,60,10,100,,7.590049067977816,7.820038523059338,ok
samples,65536,0,FIGS,65536,70,60,10,100,,40.64771575899795,40.64771575899795,ok
samples,65536,0,HSTree,65536,70,60,10,100,,2.571659032953903,2.571659032953903,ok
samples,65536,0,GreedyRuleList,65536,70,60,10,100,,1.1465693810023367,1.1465693810023367,ok
samples,65536,1,RFR,65536,70,60,10,100,1000,2.243307879893109,2.243307879893109,ok
samples,65536,1,GPR,65536,70,60,10,100,,7.2094206099864095,7.438336343038827,ok
samples,65536,1,FIGS,65536,70,60,10,100,,40.56736894114874,40.56736894114874,ok
samples,65536,1,HSTree,65536,70,60,10,100,,2.5771133571397513,2.5771133571397513,ok
samples,65536,1,GreedyRuleList,65536,70,60,10,100,,1.1743968490045518,1.1743968490045518,ok
samples,65536,2,RFR,65536,70,60,10,100,1000,2.230235220864415,2.230235220864415,ok
samples,65536,2,GPR,65536,70,60,10,100,,7.284132207976654,7.514952330850065,ok
samples,65536,2,FIGS,65536,70,60,10,100,,40.02015052898787,40.02015052898787,ok
samples,65536,2,HSTree,65536,70,60,10,100,,2.575043441960588,2.575043441960588,ok
samples,65536,2,GreedyRuleList,65536,70,60,10,100,,1.1204089939128608,1.1204089939128608,ok
samples,65536,3,RFR,65536,70,60,10,100,1000,2.2128620860166848,2.2128620860166848,ok
samples,65536,3,GPR,65536,70,60,10,100,,7.021429325919598,7.252138894982636,ok
samples,65536,3,FIGS,65536,70,60,10,100,,40.02105945395306,40.02105945395306,ok
samples,65536,3,HSTree,65536,70,60,10,100,,2.66484547406435,2.66484547406435,ok
samples,65536,3,GreedyRuleList,65536,70,60,10,100,,1.1317448168992996,1.1317448168992996,ok
samples,65536,4,RFR,65536,70,60,10,100,1000,2.2315147570334375,2.2315147570334375,ok
samples,65536,4,GPR,65536,70,60,10,100,,7.165482681011781,7.392103111138567,ok
samples,65536,4,FIGS,65536,70,60,10,100,,41.10153273190372,41.10153273190372,ok
samples,65536,4,HSTree,65536,70,60,10,100,,2.5613902457989752,2.5613902457989752,ok
samples,65536,4,GreedyRuleList,65536,70,60,10,100,,1.1573079840745777,1.1573079840745777,ok
features,4,0,RFR,1000,4,3,1,7,1000,0.012881800066679716,0.012881800066679716,ok
features,4,0,GPR,1000,4,3,1,7,,0.6648302169051021,0.8765452411025763,ok
features,4,0,FIGS,1000,4,3,1,7,,0.049961341079324484,0.049961341079324484,ok
features,4,0,HSTree,1000,4,3,1,7,,0.0023466930724680424,0.0023466930724680424,ok
features,4,0,GreedyRuleList,1000,4,3,1,7,,0.002912406111136079,0.002912406111136079,ok
features,4,1,RFR,1000,4,3,1,7,1000,0.012875779997557402,0.012875779997557402,ok
features,4,1,GPR,1000,4,3,1,7,,0.6867928029969335,0.899266067892313,ok
features,4,1,FIGS,1000,4,3,1,7,,0.05581780290231109,0.05581780290231109,ok
features,4,1,HSTree,1000,4,3,1,7,,0.002463722135871649,0.002463722135871649,ok
features,4,1,GreedyRuleList,1000,4,3,1,7,,0.002820736961439252,0.002820736961439252,ok
features,4,2,RFR,1000,4,3,1,7,1000,0.012934369966387749,0.012934369966387749,ok
features,4,2,GPR,1000,4,3,1,7,,0.6731293310876936,0.8862526488956064,ok
features,4,2,FIGS,1000,4,3,1,7,,0.05574945406988263,0.05574945406988263,ok
features,4,2,HSTree,1000,4,3,1,7,,0.0024719620123505592,0.0024719620123505592,ok
features,4,2,GreedyRuleList,1000,4,3,1,7,,0.002805157098919153,0.002805157098919153,ok
features,4,3,RFR,1000,4,3,1,7,1000,0.012862250907346606,0.012862250907346606,ok
features,4,3,GPR,1000,4,3,1,7,,0.6732733799144626,0.8849267738405615,ok
features,4,3,FIGS,1000,4,3,1,7,,0.04891526303254068,0.04891526303254068,ok
features,4,3,HSTree,1000,4,3,1,7,,0.002449291991069913,0.002449291991069913,ok
features,4,3,GreedyRuleList,1000,4,3,1,7,,0.0024430518969893456,0.0024430518969893456,ok
features,4,4,RFR,1000,4,3,1,7,1000,0.012925729854032397,0.012925729854032397,ok
