study,value,repeat,estimator,n_samples,n_original_features,n_numerical_features,n_categorical_features,n_transformed_features,n_candidates,fit_time,fit_wall_time,status
samples,8192,1,RuleFit,8192,70,60,10,100,,11.88789589999999,11.88789589999999,ok
samples,8192,1,HSTree,8192,70,60,10,100,,0.2933047000000215,0.2933047000000215,ok
samples,8192,1,GreedyRuleList,8192,70,60,10,100,,0.14321300000000292,0.14321300000000292,ok
samples,8192,2,RFR,8192,70,60,10,100,10000,1.4736575000000016,1.4736575000000016,ok
samples,8192,2,GPR,8192,70,60,10,100,,1.6683913999999618,2.3493389999999863,ok
samples,8192,2,FIGS,8192,70,60,10,100,,4.854697499999986,4.854697499999986,ok
samples,8192,2,RuleFit,8192,70,60,10,100,,11.789680400000009,11.789680400000009,ok
samples,8192,2,HSTree,8192,70,60,10,100,,0.29870440000001963,0.29870440000001963,ok
samples,8192,2,GreedyRuleList,8192,70,60,10,100,,0.1356341000000043,0.1356341000000043,ok
samples,8192,3,RFR,8192,70,60,10,100,10000,1.4738570999999752,1.4738570999999752,ok
samples,8192,3,GPR,8192,70,60,10,100,,1.335951600000044,2.00588479999999,ok
samples,8192,3,FIGS,8192,70,60,10,100,,4.8506249999999795,4.8506249999999795,ok
samples,8192,3,RuleFit,8192,70,60,10,100,,12.473617100000013,12.473617100000013,ok
samples,8192,3,HSTree,8192,70,60,10,100,,0.2955060999999546,0.2955060999999546,ok
samples,8192,3,GreedyRuleList,8192,70,60,10,100,,0.1423919000000069,0.1423919000000069,ok
samples,8192,4,RFR,8192,70,60,10,100,10000,1.509139399999981,1.509139399999981,ok
samples,8192,4,GPR,8192,70,60,10,100,,1.348331299999984,2.0048699999999826,ok
samples,8192,4,FIGS,8192,70,60,10,100,,4.869295599999987,4.869295599999987,ok
samples,8192,4,RuleFit,8192,70,60,10,100,,12.435279499999979,12.435279499999979,ok
samples,8192,4,HSTree,8192,70,60,10,100,,0.32603149999999914,0.32603149999999914,ok
samples,8192,4,GreedyRuleList,8192,70,60,10,100,,0.14285419999998794,0.14285419999998794,ok
samples,16384,0,RFR,16384,70,60,10,100,10000,5.662757699999986,5.662757699999986,ok
